"gene","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000000001",11.0620448687598,11.146615507136,11.5887725047597,11.3154252541548,11.2978856572547,11.1751647822679
"ENSMUSG00000000003",13.6817597085717,14.2580387321682,11.591567286445,12.5087100553807,12.4651069532594,12.2760915083561
"ENSMUSG00000000028",7.77341113110532,7.87481742202982,9.09066843026031,8.67770857898899,8.20729785960195,8.05028612993301
"ENSMUSG00000000037",8.0934562429493,7.93429812998154,8.19898973472439,8.120740076595,8.51624689109035,8.26676475467552
"ENSMUSG00000000049",7.61454611147229,7.59773076345194,7.55240716041742,7.5031008733372,7.36114133621476,7.55815072586278
"ENSMUSG00000000056",9.28321588006131,9.32836246629781,9.61270873719587,9.70735709537521,9.5941117881062,9.43960020341362
"ENSMUSG00000000058",12.3182141800879,12.3670127585997,12.6139438548703,12.7842442374636,12.8867596452832,12.8748908996516
"ENSMUSG00000000078",15.5177565941834,15.4427874710467,15.2501089409557,15.4504693720347,15.6167655190473,15.598414445116
"ENSMUSG00000000085",11.325368494821,11.2798037809525,10.8189023809752,11.0090552231168,11.3391317245112,11.3378662088043
"ENSMUSG00000000088",9.88473357131913,9.93525951809834,10.7052149409684,10.4453814618872,10.2427041203636,10.1068335228943
"ENSMUSG00000000093",10.8662826768698,10.4303198869396,10.98655035787,11.0442856334213,11.8506184045475,11.5613415277355
"ENSMUSG00000000120",11.1046064765167,11.2692142768608,11.920422461878,11.4466205214498,11.5355966804126,11.7671878685244
"ENSMUSG00000000126",8.76933497957772,8.74717090900177,8.22866379491795,8.26922554103054,8.90219826510588,8.49502464834925
"ENSMUSG00000000127",9.67407225109517,9.91241675677675,9.99195447837925,10.1037422129929,10.1762837568655,10.2903781572812
"ENSMUSG00000000131",11.1632117383666,11.1186886263634,11.2983384402859,11.3109869203775,11.2381936959514,11.2641858255206
"ENSMUSG00000000134",10.0917262798011,10.1543123918499,11.0111663871297,11.1013573896853,11.0001816437985,11.0105329225987
"ENSMUSG00000000142",11.4040665568089,10.9600324117763,9.84261477456247,10.0535573891785,11.0418990837346,11.0395648961532
"ENSMUSG00000000148",8.64422962308137,8.72846158756462,8.89234272522218,8.824639525317,8.86602484380974,8.6113991409815
"ENSMUSG00000000149",10.4378734618663,10.5288210816491,10.3903553801806,10.5840298998107,11.0037049040548,10.9747448591135
"ENSMUSG00000000154",8.24035456213397,8.09785810599967,8.47706983553529,8.39871817059639,8.22513154564334,8.11631282455081
"ENSMUSG00000000159",8.78953350286616,8.81924757751353,11.4943534080308,10.2099029901502,9.29533586486436,8.13731583544577
"ENSMUSG00000000167",7.62649154130929,7.85696608010519,7.76577533480549,7.81671317158319,7.73628679697639,7.68106860508835
"ENSMUSG00000000168",9.80674733302304,9.9607034379391,10.3048190178936,10.0775530907394,10.1158074090196,9.92505359232284
"ENSMUSG00000000171",9.67067108439185,9.44982482150488,10.2137702656729,9.86374888106267,9.59984498339514,9.46244640078256
"ENSMUSG00000000184",12.0645782419458,11.9592341069513,12.1270201103584,12.0935854747561,13.2731850529096,13.0092025203264
"ENSMUSG00000000194",11.0142439819997,10.9334101098659,10.6151867727156,10.7908878947646,10.939655928555,10.7434203283302
"ENSMUSG00000000197",7.77341113110532,7.97427855354956,7.00206112373495,7.25352346255071,7.42271598593105,7.52670342270674
"ENSMUSG00000000214",7.55069581393203,7.33968491703739,7.28564086324582,7.309844325939,7.73628679697639,7.55815072586278
"ENSMUSG00000000216",9.44130704596371,9.316537381473,9.30573211660756,9.38383349777976,10.240299109518,10.2447529991816
"ENSMUSG00000000248",7.44530928272363,7.33968491703739,7.71339553236898,7.39890914256483,7.36114133621476,7.45703467518308
"ENSMUSG00000000253",8.1060789509131,8.06325312585645,9.55506154310257,8.92197516735524,8.79741670179022,8.22336315284624
"ENSMUSG00000000266",10.5916151539198,10.6088048699637,10.4021636553137,10.4071878402762,10.5723931574243,10.6973575242106
"ENSMUSG00000000275",10.8075446764525,10.7300039238374,11.0805812567989,10.7470770894875,10.5590012639646,10.3357840303483
