"gene","symbol","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000160208","RRP1B",7.99917380952381,-1.43662771134026,-7.66519090249372,4.89523898954788e-08,0.000758957852939504
"ENSG00000137965","IFI44",9.47966038095238,1.78210848581175,6.05557137250749,2.99310534417573e-06,0.0202356056273756
"ENSG00000158874","APOA2",7.05973152380952,-0.960799872658089,-5.7202526489046,5.74410284299507e-06,0.0202356056273756
"ENSG00000117228","GBP1",5.6457089047619,0.809730445691979,5.79981995741696,4.68962033387992e-06,0.0202356056273756
"ENSG00000144659","SLC25A38",10.2779814761905,-0.746406533899505,-5.67029459178366,6.52593060738378e-06,0.0202356056273756
"ENSG00000204428","LY6G5C",6.51181614285714,-0.942149186424258,-5.29665222933141,1.70454833370512e-05,0.0281634764473264
"ENSG00000118965","WDR35",7.14037938095238,-0.889736298122478,-5.20146607263233,2.17983563833796e-05,0.0281634764473264
"ENSG00000179820","MYADM",12.5573947619048,-0.773265631862671,-5.43210878417246,1.20221789344458e-05,0.0281634764473264
"ENSG00000266412","NCOA4",14.7100685714286,0.739487213110266,5.22281926820502,2.06274045673498e-05,0.0281634764473264
"ENSG00000067066","SP100",13.2995771428571,0.726819959124025,5.23611005656372,1.99307782414354e-05,0.0281634764473264
"ENSG00000119979","DENND10",12.5532433333333,0.593072061463236,5.29948760404125,1.69211838362155e-05,0.0281634764473264
"ENSG00000072786","STK10",15.3358819047619,-0.497997483865356,-5.26963867895903,1.82768848118164e-05,0.0281634764473264
"ENSG00000141068","KSR1",11.6504095238095,-0.502281882305233,-5.15065270729661,2.48612849816403e-05,0.0296499509504117
"ENSG00000164659","ELAPOR2",7.577334,-1.2542608459487,-5.06725414696107,3.08563658746997e-05,0.0324579153505125
"ENSG00000167895","TMC8",7.291373,-1.0451417847826,-5.0019719289748,3.65481383141694e-05,0.0324579153505125
"ENSG00000151704","KCNJ1",7.45381157142857,0.89052666019246,5.00689162561728,3.60846536221342e-05,0.0324579153505125
"ENSG00000258659","TRIM34",7.34091052380952,0.707886248572958,4.96155791129679,4.05891089840398e-05,0.0324579153505125
"ENSG00000094914","AAAS",12.4185157142857,-0.696583290203598,-4.93079056776393,4.39638946311121e-05,0.0324579153505125
"ENSG00000156504","PABIR2",8.85988619047619,-0.647680035819533,-5.05942013440624,3.14893681834543e-05,0.0324579153505125
"ENSG00000198648","STK39",10.5703186666667,-0.641666920349834,-4.98657207957126,3.80379817954794e-05,0.0324579153505125
"ENSG00000115561","CHMP3",13.22183,0.495081876729889,4.94722962739358,4.21271060448018e-05,0.0324579153505125
"ENSG00000132274","TRIM22",10.3720015238095,0.891241053460643,4.82367528423756,5.80672403910621e-05,0.0408930366736707
"ENSG00000276231","PIK3R6",13.6170614285714,-0.625061370191794,-4.80683804300769,6.06643345907138e-05,0.0408930366736707
"ENSG00000101413","RPRD1B",9.05675604761905,-0.730696131140158,-4.77891941723841,6.52297508127882e-05,0.0421384190250612
"ENSG00000166797","CIAO2A",12.0432276190476,0.541530428846839,4.71307171842913,7.74074874385855e-05,0.0480050274099132
"ENSG00000205413","SAMD9",12.81816,0.954986727834827,4.64437573611436,9.25433824371647e-05,0.0484976563819132
"ENSG00000122547","EEPD1",9.25168395238095,-0.800413838473247,-4.6898924122362,8.22154735282924e-05,0.0484976563819132
"ENSG00000108861","DUSP3",8.629445,-0.601803259093669,-4.65849837091612,8.92071868802528e-05,0.0484976563819132
