"gene","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000045868","Gvin1",822.812147995151,-14.1507364364233,1.00523322910078,-14.0770679149571,5.2545060863235e-45,9.50592696076785e-41
"ENSMUSG00000066258","Trim12a",190.880907801493,-11.0883968017855,0.910610519909867,-12.1768819482593,4.12762229306467e-34,3.73364074519164e-30
"ENSMUSG00000057596","Trim30d",176.400810198798,-5.21251496706259,0.520387984838367,-10.0165936165525,1.28868060331981e-23,7.77117359821958e-20
"ENSMUSG00000060441","Trim5",64.9848472332033,-9.55918723835189,0.991922959007757,-9.63702589152101,5.5780663631044e-22,2.52281996437304e-18
"ENSMUSG00000098934","Gvin-ps4",116.204923993861,-10.9196773411033,1.27540617748485,-8.56172530278736,1.11190872647297e-17,4.02310815412451e-14
"ENSMUSG00000082154","ENSMUSG00000082154",16.608324120153,-5.21543660100695,0.738791976750071,-7.05941153279646,1.67209189473722e-12,5.04163574461516e-09
"ENSMUSG00000073902","ENSMUSG00000073902",497.319247523475,-5.72253518223974,0.865915431637069,-6.60865365503525,3.87830865443238e-11,1.00232116953337e-07
"ENSMUSG00000029392","Rilpl1",646.185830450224,0.494586078331304,0.0991149993641896,4.9900225142916,6.03722555303008e-07,0.00136524309349834
"ENSMUSG00000030532","Hddc3",144.809342535372,1.59454453402407,0.322396255045232,4.94591518688815,7.57869529625461e-07,0.00137106176604542
"ENSMUSG00000038503","Mesd",450.152281138165,0.386243872285469,0.0779493431408239,4.95506256656555,7.23070184600771e-07,0.00137106176604542
"ENSMUSG00000047084","Ngrn",142.655962355102,0.65462081833827,0.134262587868345,4.87567556034431,1.08436706523621e-06,0.00178338950701712
"ENSMUSG00000076612","Ighg2c",20.3314096709327,-5.36567971926462,1.10640679356069,-4.8496445886748,1.23682885659994e-06,0.00186462257039579
"ENSMUSG00000090215","Trim34b",13.1260331431668,3.45874432373613,0.720775712810229,4.79864160551533,1.59745347642499e-06,0.00222304083400035
"ENSMUSG00000095649","ENSMUSG00000095649",11.1939952049484,-3.51210875666393,0.755971902263786,-4.64581917151523,3.38729619421907e-06,0.00437711253211551
"ENSMUSG00000001440","Kpnb1",2347.80864954151,0.3487488917775,0.0760739673402981,4.5843394786742,4.55423799076292e-06,0.00549271463272613
"ENSMUSG00000038679","Trps1",880.041333654079,-0.807590737914368,0.179027056005698,-4.5109982587697,6.45232505456921e-06,0.00729556328513823
"ENSMUSG00000046352","Gjb2",39.6771716723686,-1.6607584153377,0.373461213167401,-4.44693680838357,8.71034471764165e-06,0.00926934389922677
"ENSMUSG00000020638","Cmpk2",177.415011517768,-1.19259019015431,0.276428850933025,-4.31427539538287,1.60127235952016e-05,0.0160936768089329
"ENSMUSG00000086513","ENSMUSG00000086513",45.6692382122124,2.85424400553885,0.681579583272026,4.18769000068432,2.8180807552022e-05,0.0268325783907174
"ENSMUSG00000035759","Bbs10",32.4162719437166,1.01956548253547,0.252734367307401,4.03413866265117,5.48029503258954e-05,0.0495720087172886
"ENSMUSG00000084821","Gm15880",22.4608420884907,2.71306851262861,0.689989097129265,3.93204548291628,8.42261246732383e-05,0.072558801022074
"ENSMUSG00000016477","E2f3",247.799693071816,0.466976102729677,0.120383341638393,3.87907576226267,0.000104854096690898,0.0862234301470469
"ENSMUSG00000084754","Gm12532",7.51274401189857,-3.1215762843094,0.823756201210747,-3.7894419243477,0.000150986103792425,0.111356895305914
"ENSMUSG00000032350","Gclc",334.815725502402,0.408270453064808,0.107873479564765,3.78471571244434,0.000153884383541421,0.111356895305914
"ENSMUSG00000043252","Tmem64",299.345046133956,0.383165229095986,0.100701245687295,3.8049701022152,0.000141821320057666,0.111356895305914
"ENSMUSG00000023800","Tiam2",146.216646943214,-0.741082239440286,0.201467931791975,-3.67841290099452,0.000234689808131963,0.157467119657834
"ENSMUSG00000034361","Cpne2",351.154030049921,-0.689972769456404,0.18827736890323,-3.66466120424188,0.000247666208014298,0.157467119657834
"ENSMUSG00000103041","ENSMUSG00000103041",69.1925346998939,-0.596807961514626,0.162738501669323,-3.6672818994445,0.000245142489528017,0.157467119657834
"ENSMUSG00000032010","Usp2",648.186160219561,0.544642171877669,0.148832789451623,3.65942326206754,0.000252783524415769,0.157467119657834
"ENSMUSG00000047649","Polr1g",269.906192987566,0.497055407721762,0.136138738472495,3.65109456205359,0.00026112506714582,0.157467119657834
"ENSMUSG00000039706","Ldb2",59.9807797522705,-1.56519514942526,0.432686107990913,-3.61739173160172,0.000297586745298007,0.169242027913974
